Product	Hoeveelheid	Eenheid	Kcal	Eiwit	Koolhydraten	Vet
	1	-	0,00	0	0	0
aalbessen	100	g	24,00	1	5	0
aardappelen	100	g	84,80	2,6	18,6	0
aardappelkroketten	100	g	356,80	34	28,2	12
aardappelpuree	100	g	100,20	2,8	11	5
aardappelsoesje	100	g	187,60	5,3	16,4	11,2
aardappelzetmeel	100	g	338,10	0,5	83,8	0,1
aardbeien	100	g	24,00	1	5	0
abrikoos	1	stuk	20,00	0	5	0
achterham	100	g	130,00	18	1	6
all bran	100	g	267,00	14	46	3
amandelbroodje	100	g	462,50	7,6	43	28,9
amandelen	100	g	578,20	18,3	4,3	54,2
americain	100	g	125,00	20	0	5
americain prepare	100	g	244,00	16	0	20
amsoi (gekookt)	100	g	28,00	2	5	0
ananas	100	g	88,00	0	22	0
andijvie	100	g	17,40	1,8	2,1	0,2
anijshagel	100	g	393,20	0,1	98,2	0
ansjovis in olie	100	g	189,00	18	0	13
appel	1	stuk	60,00	1	14	0
appelbeignet	100	g	190,10	2,6	18,6	11,7
appelcarre	100	g	318,60	3,7	38,6	16,6
appelflap	1	stuk	146,00	2	12	10
appelmoes	100	g	76,00	0	19	0
appelstroop	1	el	44,00	0	11	0
appeltaart	100	g	233,60	3,6	38,6	7,2
aquarius	1	blikje	94,80	0	23,7	0
artisjok	100	g	59,30	2,4	12,2	0,1
asperges	100	g	16,00	1	3	0
atjar tjampoer	100	g	24,00	1	5	0
aubergine	100	g	24,00	1	5	0
augurken	100	g	18,00	0,9	3,6	0
avocado	1	stuk	226,00	4	12	18
babi pangang	100	g	217,60	13,6	3,9	16,4
babybel bonbel	100	g	314,00	22,6	0,1	24,8
bacon	100	g	430,00	13	0	42
bak- en braadvet	100	g	876,90	0,3	0	97,3
bakbokking	100	g	334,20	21,6	3	26,2
baklava	100	g	435,90	4,2	53,7	22,7
balisto	1	stuk	223,00	4	27	11
bambix	100	g	344,00	9,5	72	2
bamboespruiten	100	g	32,00	2	6	0
bami goreng	100	g	145,00	6	19	5
bamibal	100	g	274,00	7	30	14
banaan	1	stuk	124,00	1	30	0
banketbakkersroom	100	g	145,30	3,9	23,2	4,1
banketstaaf	100	g	462,50	7,6	43	28,9
barbecuesaus	100	g	92,00	1	22	0
basterdsuiker	100	g	380,00	0	95	0
bayonne-ham	100	g	258,80	24	0,2	18
BCAA's	100	g	400,00	100	0	0
belgian pickels(devos lemmens)	100	g	45,20	0,8	9,6	0,4
berehap - bereklauw	100	g	251,90	9,7	9,4	19,5
berlinerbol	100	g	386,30	5,5	39,1	23,1
beschuit	100	g	379,40	9,9	75,5	4,2
bichoc delacre	100	g	465,10	5,3	72,5	17,1
bieflap	100	g	168,40	27,8	0,8	6
biefstuk	100	g	115,00	22	0	3
bierworstje - bifiworstje	100	g	402,20	19,1	0,9	35,8
bieslook	100	g	57,00	4	8	1
bieten	100	g	20,00	2	3	0
big bacon (Quick)	1	stuk	500,60	27,2	21,9	33,8
big mac (McDonald's)	1	stuk	505,00	25,7	43,4	25,4
biogarde mager	100	g	32,90	4	4	0,1
biogarde natuur	100	g	57,10	4,6	6,3	1,5
biogarde vol	100	g	56,40	3,4	3,5	3,2
biogarde (halfvol)	100	g	49,50	4,3	4,7	1,5
bisc & bounty	100	g	539,30	4,9	55,9	32,9
bisc & mars	100	g	523,30	5,3	61,4	28,5
bisc & snickers	100	g	535,70	7,8	53	32,5
bisc & twix	100	g	518,20	5,4	61,6	27,8
biscuitje (groot)	100	g	432,90	8,8	76,7	10,1
bitterbal	100	g	232,80	10,7	16,9	13,6
bizonsteak	100	g	101,00	23	0	1
bladerdeeg	100	g	390,00	7	41	22
bleekselderij	100	g	24,00	2	4	0
blinde vink	100	g	189,10	25,6	1,2	9,1
bloem	100	g	333,00	11	70	1
bloemkool	100	g	20,00	2	3	0
blue	100	g	352,60	21,1	0	29,8
bluefort	100	g	354,00	20	1	30
boerenkool	100	g	41,00	4	4	1
boerenkoolstamppot	100	g	88,70	2,7	10,7	3,9
boerenpate	100	g	307,60	15	2,5	26,4
bokkepoot	100	g	446,00	16	55	18
bokking (gerookt)	100	g	236,00	23	0	16
bokking (gestoomd)	100	g	232,60	21,2	0,5	16,2
bonbon	100	g	409,60	4,5	62,8	15,6
bonbon (met likeur)	100	g	350,90	3	42,2	18,9
bonen	100	g	265,50	20	43	1,5
borrelnootjes	100	g	519,00	15	45	31
borstplaat (room)	100	g	328,90	0,8	72,2	4,1
borstplaat (water)	100	g	380,00	0	95	0
bosbessen	100	g	35,30	0,3	7,4	0,5
bosbessen op siroop	100	g	128,00	1	31	0
bossche bol	100	g	348,60	4,5	21	27,4
boter	10	g	74,60	0,1	0,1	8,2
boter (gezouten)	100	g	761,40	0,9	0	84,2
boterhamworst	100	g	334,00	12	4	30
boterkoek	100	g	515,00	4	55	31
boterletter	100	g	462,50	7,6	43	28,9
boter (halfvol)	100	g	390,90	6,3	0,3	40,5
boter (ongezouten)	100	g	763,70	4,2	1,1	82,5
boudoir	100	g	395,30	7,4	84	3,3
bounty	1	stuk	243,00	3	24	15
boursin	100	g	417,50	10	1	41,5
braadharing	100	g	219,00	17	4	15
braadworst (varken)	100	g	308,40	22,2	0,9	24
braambessen	100	g	38,10	1,2	7,2	0,5
brado	100	g	236,00	23	0	16
bramen	100	g	37,00	1	6	1
bran buds	100	g	99,90	3,6	18,9	1,1
bressot	100	g	332,30	8,5	1	32,7
brie (50+)	100	g	317,00	22	1	25
brie (60+)	100	g	365,00	17	0	33
brinta	100	g	366,50	12	74	2,5
brinta fruitvit	100	g	324,70	9,2	68,6	1,5
broccoli	100	g	20,00	2	3	0
brood (volkoren)	100	g	208,00	5,7	40	2,8
brood (wit)	100	g	226,00	6,5	50	0
broodje (bruin)	100	g	249,90	9,5	45,1	3,5
broodje (gemiddeld)	100	g	240,50	8,7	45,8	2,5
broodje (luxe wit)	100	g	294,60	9,3	53,1	5
broodje (meergranen)	100	g	211,80	8,4	40,5	1,8
broodje (muesli)	100	g	273,10	8,1	52,3	3,5
broodje (tarwe)	100	g	249,90	9,5	45,1	3,5
broodje (volkoren)	100	g	211,80	8,4	40,5	1,8
broodje (wit)	100	g	259,30	8,1	52	2,1
brood (gemiddeld)	100	g	240,50	8,7	45,8	2,5
bruinbrood	100	g	249,90	9,5	45,1	3,5
bruine bonensoep	100	g	46,70	3,5	7,5	0,3
bulgaarse yoghurt (fruit)	100	g	124,00	5	17	4
bulgaarse yoghurt (mager)	100	g	48,50	5	6	0,5
bulgaarse yoghurt (vol)	100	g	89,50	4,8	7	4,7
cake	100	g	446,20	6,9	44,8	26,6
camembert (45+)	100	g	284,00	25	1	20
camembert (50+)	100	g	314,00	18	2	26
candybar	100	g	478,00	5,9	63,2	22,4
cantadou	100	g	328,70	6	3,5	32,3
capellini (Soubry)	100	g	349,50	13	71	1,5
carre confiture	100	g	400,80	3,4	50	20,8
cashew-noten	100	g	617,00	18	26	49
casselerrib	100	g	183,00	18	3	11
cassoulet (William Saurin)	100	g	109,00	7,6	8,4	5
cervela	100	g	387,00	18	0	35
champignons	100	g	16,00	3	1	0
chavroux	100	g	173,00	10	4	13
cheddar	100	g	401,00	26	0	33
cheeseburger (Quick)	1	stuk	274,90	16,8	24,7	12,1
chili con carne	100	g	145,10	8,7	8	8,7
chinese kool	100	g	12,30	1,2	1,2	0,3
chipolatapudding	100	g	225,20	4,3	24,1	12,4
chips (light)	100	g	502,00	6	61	26
chips (naturel)	100	g	#VALUE!	6	4 9,0	36
choco (kwatta)	100	g	362,00	1,9	71,5	7,6
chocolade (melk)	100	g	517,90	6,6	54,7	30,3
chocolade (melk)	100	g	528,00	8	52	32
chocolade (met noten)	100	g	607,60	10,3	30	49,6
chocolade (puur)	100	g	507,50	5	51	31,5
chocolade (puur)	100	g	512,00	4	52	32
chocoladebiscuit	100	g	470,00	6,9	63,8	20,8
chocoladehagelslag	100	g	430,90	6,1	63,6	16,9
chocoladekorrels	100	g	437,50	6,5	63,5	17,5
chocolademelk (halfvol)	100	g	84,20	3,7	13,3	1,8
chocolademelk (mager)	100	g	58,70	3,6	10,4	0,3
chocolademelk (vol)	100	g	79,60	3,4	11,1	2,4
chocolademousse	100	g	252,00	2,5	26,3	15,2
chocoladepasta	100	g	578,00	3	56	38
chocoladepudding	100	g	124,80	4	20	3,2
chocoladesaus	100	g	254,00	2	57	2
chocoladevla (mager)	100	g	77,00	3,3	15,5	0,2
chocoladevla (vol)	100	g	86,60	3,3	12,5	2,6
chocoladevlokken (melk)	100	g	446,00	8	63	18
chocoladevlokken (puur)	100	g	429,00	5	64	17
chocomousse (danone)	100	g	90,50	2,1	12,2	3,7
chocoprince	100	g	482,30	5,6	67,5	21,1
citroen	1	stuk	10,00	0	2,5	0
cocktailsaus (devos lemmens)	100	g	582,20	1,2	7,1	61
confiture	100	g	262,00	0,5	65	0
corned beef	100	g	289,00	16	0	25
cornetto	1	stuk	262,00	3,5	26	16
cornflakes	100	g	380,80	8,5	84	1,2
cottage cheese	100	g	92,70	11,2	3,2	3,9
courgette	100	g	6,00	0,5	1	0
couscous	100	g	133,20	4,4	28	0,4
cracotte	100	g	477,00	11	97	5
cranberriecompote	100	g	81,20	0	20,3	0
cream cracker	100	g	465,00	8	70	17
creatine	100	g	0,00	0	0	0
creme fraiche	100	g	343,90	2,2	3	35,9
cremetaart	100	g	477,00	5	40	33
croissant	1	stuk	130,00	4	24	2
cruesli	100	g	389,40	10,6	68,3	8,2
curry (devos lemmens)	100	g	647,00	1,1	2,7	70,2
curryketchup	100	g	104,80	0,9	25,3	0
custardpoeder	100	g	340,00	0	85	0
dadels (vers)	100	g	165,00	2	37	1
dadels (geconfijt)	100	g	300,00	2	73	0
danette chocolade	100	g	147,60	4,9	21,2	4,8
danette vanille	100	g	124,20	4,7	16,9	4,2
danish blue	100	g	354,00	20	1	30
dextro-energie (tabletten)	100	g	364,00	0	91	0
dextrose	100	g	368,00	0	92	0
djoez	100	g	51,70	0,9	11,8	0,1
donut	100	g	413,40	6,2	34,6	27,8
doperwten	100	g	60,00	5	10	0
doperwten en wortelen	100	g	36,40	3,3	5,8	0
dorade	100	g	106,00	17,5	0	4
doritos nacho cheese	100	g	526,00	6	58	30
double chicken (Quick)	1	stuk	464,90	19,6	25,3	31,7
dressing, yoghurt	100	ml	198,80	0,7	13	16
drinkyoghurt	100	g	59,00	3	11,3	0,2
drop (engelse)	100	g	362,00	4	82	2
drop (gemiddeld)	100	g	309,20	4,3	73	0
drop (zoet)	100	g	348,00	10	77	0
drop (zout)	100	g	336,00	9	75	0
druiven	100	g	66,00	0,5	16	0
dubbeldrank	100	g	52,40	0,3	12,8	0
edammer	100	g	314,00	28	1	22
eend	100	g	217,20	18,3	0	16
eendenfilet	100	g	341,00	20	0	29
ei	1	stuk	82,00	7	0	6
ei-eiwit	1	stuk	16,00	4	0	0
eierkoek	1	stuk	85,00	1	18	1
eiersalade	100	g	246,90	6,4	8,3	20,9
emmental	100	g	390,00	27	3	30
entrecote	100	g	189,10	25,6	1,2	9,1
erwten	100	g	80,90	6,5	12,6	0,5
erwten & wortelen	100	g	44,80	3	7,3	0,4
evergreen	1	stuk	73,50	2	13	1,5
evergreen (krenten)	100	g	373,00	9	73	5
extran eiwitdrank	100	g	98,70	12,5	11,5	0,3
extran energiedrank	100	g	160,00	0	40	0
extran energiereep m, muesli	100	g	366,90	5,6	76	4,5
extran hypotone dorstlesser	100	g	16,40	0	4,1	0
feta	100	g	248,40	15,6	1,5	20
filet americain	100	g	161,10	18,5	2,2	8,7
filet d'anvers	100	g	158,00	26	0	6
filet de york	100	g	146,00	22	1	6
finesse (Gervais)	100	g	210,00	2,7	4,8	20
fishsticks	100	g	228,00	18	12	12
flantaart	100	g	226,50	6	31,5	8,5
flensje	100	g	157,70	6,4	18,4	6,5
foe yung hai	100	g	127,40	5,7	7,7	8,2
forel	100	g	99,00	18	0	3
frambozen	100	g	30,30	1,3	5,6	0,3
frambozen op siroop	100	g	92,00	0	23	0
frangipane	100	g	478,00	5	65	22
fricandeau (varkens)	100	g	150,90	31,2	0	2,9
friese nagelkaas 20+	100	g	269,00	38	0	13
friese nagelkaas 40+	100	g	327,40	25,5	0,1	25
frieten	100	g	456,00	40	38	16
frikadellen (Beckers)	100	g	256,00	12	7	20
frikadelsaus	100	g	231,00	1	23	15
fritessaus (25% olie)	100	g	282,40	0,5	11,6	26
fritessaus, 35% olie	100	g	372,00	0	12	36
frituurvet	100	g	898,90	0,1	0,3	99,7
frituurvet (vloeibaar)	100	g	900,00	0	0	100
fruitcoctail	100	g	68,00	0	17	0
fruitsap ( sinas )	250	ml	122,00	2	28,5	0
gado gado	100	g	173,40	7,2	7,8	12,6
galette	100	g	529,80	6,7	65	27
gamba	100	g	137,00	18,5	0	7
gans	100	g	350,40	15,6	0	32
ganzelever	100	g	462,40	7	6	45,6
garderoom	100	g	253,00	3	4	25
garnalen	100	g	90,00	18	0	2
gebonden soep	100	g	36,70	2,2	0,9	2,7
gebraden gehakt	100	g	342,00	15	3	30
gehakt-tomatensaus	100	g	138,50	11,7	1,1	9,7
gehakt (gemengd)	100	g	348,00	15	0	32
geitekaas	100	g	205,00	13	0	17
geitemelk	100	g	69,90	3,4	4,4	4,3
gekookte worst	100	g	380,00	12	2	36
gelatine	100	g	235,00	43	0	7
gember op siroop	100	g	276,00	0	69	0
gepelde tomaten (cirio)	100	g	23,00	1,3	4	0,2
geraspte kaas (volvet)	100	g	384,70	24,9	0,4	31,5
gestampte muisjes	100	g	389,00	0	95	1
gevogeltegehakt	100	g	170,80	20,2	0	10
gevulde koek	100	g	435,60	5,5	61,1	18,8
gevulde speculaas	100	g	488,60	8,6	52,8	27
giant (quick)	1	stuk	534,60	25	24,5	37,4
gierst	100	g	109,50	3,6	23,1	0,3
gomasio	100	g	523,90	21,8	5	46,3
gorgonzola	100	g	340,00	19,1	0,2	29,2
gouda	100	g	365,60	25,5	0,2	29,2
goudbrasem	100	g	103,00	19	0	3
goudse kaas	100	g	384,70	24,9	0,4	31,5
goulash	100	g	155,10	9,5	2,5	11,9
granaatappel	100	g	61,50	1	13,7	0,3
granny (amandel-abrikoos)	1	stuk	131,10	2,1	19,2	5,1
granny (chocolade)	1	stuk	96,10	1,9	19,2	1,3
grapefruit	100	g	30,00	0,9	6,6	0
grapefruit op siroop	100	g	64,00	1	15	0
grapefruitsap	100	g	30,50	0,4	7	0,1
griekse noedels	100	g	357,50	13	73	1,5
groene aalbes	100	g	40,20	0,8	8,8	0,2
groene erwten	100	g	109,60	8,4	17,2	0,8
groene kool	100	g	37,00	3	4	1
groentesaus uit pakje	100	g	61,80	1,7	10,6	1,4
groentespread	100	g	20,00	1	4	0
gruyere	100	g	435,00	29	1	35
guave	100	g	72,00	1	17	0
haas	100	g	113,00	21,5	0	3
hachee	100	g	88,80	6,8	2,8	5,6
hagelslag melk	100	g	427,50	6,5	66,4	15,1
hagelslag puur	100	g	403,50	3,4	59,9	16,7
halfvolle koffiemelk	100	ml	100,40	6,3	9,8	4
halvarine	100	g	360,00	0	0	40
halvarineprodukt (-40%)	100	g	259,90	2,7	2,2	26,7
ham-kaassaus	100	g	173,60	10,2	6,2	12
ham (rauw, gerookt)	100	g	369,00	18	0	33
hamburger (Quick)	1	stuk	265,80	13,1	26,8	11,8
hamlappen	100	g	181,90	31,3	0	6,3
hangop	100	g	63,00	10	3,5	1
haring	100	g	297,00	18	0	25
haring in tomatensaus	100	g	162,50	15	2	10,5
haring (gerookt)	100	g	259,80	22,2	0	19
haring (zoute)	100	g	167,90	19,2	0,5	9,9
haring (zure)	100	g	208,00	16	0	16
hartige taart	100	g	172,30	8,9	13,7	9,1
hartige taart (bladerdeeg)	100	g	273,60	10,8	9,9	21,2
hausmacher	100	g	325,00	16	0	29
haverkoek	100	g	344,30	8,2	53,8	10,7
havermout	100	g	363,00	13	62	7
havermoutpap	100	g	74,40	3,9	7,5	3,2
hazelnootpasta	100	g	538,30	7,4	59	30,3
hazelnoten	100	g	644,00	11,9	10,5	61,6
heilbot	100	g	113,00	17	0	5
heldere soep	100	g	38,70	4	2,3	1,5
hoestbonbon	100	g	396,00	0,6	98,4	0
honing	1	el	68,00	1	16	0
hopje	100	g	380,00	0	95	0
hot ketchup	100	g	104,80	0,9	25,3	0
hotdog	100	g	295,40	9,8	37,5	11,8
hotdog relish	100	g	104,00	0	26	0
hutspot	100	g	62,20	1,5	8,2	2,6
huttenkase	100	g	92,70	11,6	1,9	4,3
huzarenslaatje	100	g	105,40	7,9	9	4,2
ijs	100	g	186,20	3	19,7	10,6
ijs (conotop)	100	g	246,00	6	24	14
ijs (met chocolade)	100	g	218,30	3,2	22,8	12,7
ijs (room)	100	g	181,90	3	22	9,1
ijs (sorbet)	100	g	106,00	0,5	26	0
ijs (yoghurt)	100	g	107,00	4	16	3
ijscoupe met likeur	100	g	164,20	2,3	21,2	7,8
ijslolly - waterijs	100	g	72,80	0	18,2	0
ijswafeltje (koekje)	100	g	432,90	8,8	76,7	10,1
irish coffee	100	g	107,80	0,6	5,2	9,4
isostar energiedrank	100	g	28,00	0	7	0
italiaanse schotel (zwan)	100	g	101,00	4	10	5
jachtschotel	100	g	101,00	5	9	5
jam  (marmelade)	100	g	240,80	0,2	60	0
jam (halva en light)	100	g	112,00	0	28	0
japanse mix	100	g	361,90	8	73,7	3,9
kaas 20+	100	g	269,00	38	0	13
kaas 30+	100	g	269,00	29	0	17
kaas 40+	100	g	327,40	25,5	0,1	25
kaas ( trenta )	100	g	370,00	25	0	30
kaas (edammer)	100	g	368,00	25	4	28
kaas (gouda)	100	g	385,00	26	5	29
kaas (light)	100	g	154,50	14,5	5	8,5
kaas (parmezaan)	100	g	411,00	40	2	27
kaas (volvet)	100	g	384,70	24,9	0,4	31,5
kaasprodukt 30+	100	g	283,80	31,7	1	17
kaasprodukt (volvet)	100	g	370,00	25	0	30
kaassoesje	100	g	334,20	12	9	27,8
kaaswafel	100	g	565,90	14,3	37,4	39,9
kabeljauwfilet	100	g	85,50	18	0	1,5
kaki	100	g	66,00	0,5	16	0
kalfsentrecote	100	g	189,10	25,6	1,2	9,1
kalfsfricandeau (beleg)	100	g	156,40	31,9	0	3,2
kalfsgehakt	100	g	184,50	18	0	12,5
kalfslapjes	100	g	102,00	21	0	2
kalfslever	100	g	184,80	28	2	7,2
kalfstong	100	g	132,50	17,5	1	6,5
kalfszwezerik	100	g	218,40	5	4,6	20
kalkoen	100	g	143,00	20	0	7
kalkoenfilet	100	g	85,00	19	0	1
kano	100	g	435,60	5,5	61,1	18,8
kapucijners	100	g	106,20	8	17,2	0,6
karbonade (haas)	100	g	156,20	26	0	5,8
karbonade (hals)	100	g	272,40	27,6	0	18
karbonade (rib)	100	g	211,50	28,3	0,5	10,7
karbonade (schouder)	100	g	272,40	27,6	0	18
karnemelk	250	ml	65,20	7,5	8,8	0
karper	100	g	115,20	18	0	4,8
kastanjes	100	g	165,00	4	35	1
katenspek	100	g	403,50	15,2	0,4	37,9
kauwgom	100	g	280,00	0	70	0
kaviaar	100	g	243,90	26,1	0	15,5
kefir	100	g	54,60	3,1	3,8	3
kellogg's all bran	100	g	267,00	14	46	3
kellogg's choco pops	100	g	374,00	5	84	2
kellogg's cornflakes	100	g	367,20	8	82	0,8
kellogg's frosties	100	g	376,50	5	88	0,5
kellogg's fruit & fiber	100	g	357,00	9	69	5
kellogg's muesli	100	g	362,00	10	67	6
kellogg's raisin bran	100	g	318,00	8	67	2
kellogg's rice crisp	100	g	377,00	6	86	1
kellogg's smacks	1	reep	91,00	2	14	3
kellogg's special k	100	g	369,00	14	76	1
kernhemmer	100	g	413,00	20	0	37
kerriesaus	100	g	279,00	0,5	13	25
kersen	100	g	64,00	1	15	0
kersen op siroop	100	g	76,00	1	18	0
kersenbonbon	100	g	350,90	3	42,2	18,9
kerstkrans	100	g	462,50	7,6	43	28,9
kervel	100	g	71,00	4	11,5	1
ketchup	1	el	16,00	0	4	0
ketjap	1	el	20,00	1	4	0
ketjap asin	100	g	120,00	12	18	0
ketjap manis	100	g	136,00	10	24	0
kidney beans	100	g	95,50	7,1	15,2	0,7
kievietsbonen	100	g	265,50	20	43	1,5
kikkerbil	100	g	68,30	16,4	0	0,3
kikkererwten	100	g	163,00	8	26	3
kinderbiscuit	100	g	396,00	9	72	8
kip-kap	100	g	207,00	18	0	15
kip-kerriesalade	100	g	280,00	5,5	8,7	24,8
kipburger	100	g	306,40	14,5	9,9	23,2
kipnugget - kipkantje	100	g	272,70	17,5	12,2	17,1
kippebouillion	100	ml	10,40	0,6	2	0
kippelever	100	g	184,80	28	2	7,2
kipfilet (beleg)	100	g	154,50	16,8	0,9	9,3
kipfilet	100	g	111,00	21	0	3
kippenham	100	g	88,00	20	2	0
kippepoot	100	g	228,90	26,4	0	13,7
kiprollade	100	g	165,80	24	1,7	7
kipschnitzel (gepaneerd)	100	g	217,50	17,5	8,3	12,7
kiri creme	100	g	341,00	8,5	2,5	33
kit kat	100	g	482,30	5,6	67,5	21,1
kiwi	1	stuk	24,00	0	6	0
klapstuk	100	g	265,60	34	0	14,4
knackebrod wasa	100	g	350,00	11	72	2
knackebrod (lichtgewicht)	100	g	374,00	10	79	2
knakworst	100	g	297,50	10,9	2,5	27,1
knoflook	1	teentje	13,80	0,3	0	1,4
knolselderij	100	g	36,00	2	7	0
knorr vie	1	stuk	64,50	1	14	0,5
koffie verkeerd	100	g	29,40	2,3	2,8	1
koffiebroodje	100	g	329,00	7	55	9
koffiemelk (halfvol)	100	g	104,40	7,8	9,3	4
koffiemelk (mager)	100	g	77,40	7,7	11,2	0,2
koffiemelk (vol)	100	g	152,00	8,4	10,7	8,4
koffiemelkpoeder	100	g	551,00	4	55	35
koffiemelkprodukt (halfvol)	100	g	104,80	7,2	10	4
koffiemelkprodukt (vol)	100	g	136,40	7,5	9,5	7,6
koffieroom	100	g	206,00	2,7	3,8	20
koffiewitmaker	100	g	551,00	4	55	35
kokosbrood	100	g	422,00	4	34	30
kokosmakaron	100	g	451,00	4	57	23
kokosnoot	100	g	389,00	4	10	37
komkommer	100	g	8,00	1	1	0
komkommerspread	100	g	157,00	1	13,5	11
konijn	100	g	160,00	21	1	8
koolraap	100	g	12,00	1	2	0
koolrabi	100	g	24,00	2	4	0
koolvis	100	g	72,00	18	0	0
korstgebak	100	g	611,00	7	40	47
kouseband	100	g	40,00	3	7	0
krab	100	g	82,00	16	0	2
kreeft	100	g	82,00	16	0	2
krenten	100	g	308,00	2	75	0
krentenbol	100	g	267,60	8	51,7	3,2
krentenbrood	100	g	255,00	7	50	3
krentenbrood (volkoren)	100	g	230,60	7,1	47,4	1,4
krieken	100	g	38,60	0,2	9	0,2
krisprol	100	g	403,60	12,4	75	6
kroepoek	100	g	498,00	4	62	26
kroket	100	g	232,80	10,7	16,9	13,6
kruimelvlaai	100	g	293,20	5,9	40,4	12
kruisbessen	100	g	40,00	1	9	0
krulandijvie	100	g	12,60	1,8	0,9	0,2
kumquat	100	g	42,10	1,1	7,4	0,9
kwark vruchten (mager)	100	g	124,00	7	15	4
kwark (mager)	100	g	52,40	9,8	3,3	0
kwark (vol)	100	g	159,80	11,1	3,2	11,4
kwarktaart	100	g	228,30	4,9	27,2	11,1
lamsbout	100	g	349,80	25,8	0	27,4
lamsfilet	100	g	143,00	20	0	7
lamskarbonade	100	g	349,80	25,8	0	27,4
